"Facility Id","FRS Id","Facility Name","City","State","Zip Code","Address","County","Latitude","Longitude","Primary NAICS Code","Latest Reported Industry Type (subparts)","Latest Reported Industry Type (sectors)","2023 Total reported direct emissions","2022 Total reported direct emissions","2021 Total reported direct emissions","2020 Total reported direct emissions","2019 Total reported direct emissions","2018 Total reported direct emissions","2017 Total reported direct emissions","2016 Total reported direct emissions","2015 Total reported direct emissions","2014 Total reported direct emissions","2013 Total reported direct emissions","2012 Total reported direct emissions","2011 Total reported direct emissions"
1005137,"110056321822","GASTON COUNTY LANDFILL","DALLAS","NC","28034","3155 PHILADELPHIA CHURCH RD","GASTON COUNTY",35.38868,-81.17202,562212,"HH","Waste",57758,61837.75,62129.5,68057.25,71643.75,75786.75,72778,81656.25,62903.5,63605,60612.75,51141,58750.25
1007998,"110000347161","GSK, INC.","ZEBULON","NC","27597","1011 NORTH ARENDELL AVENUE","WAKE COUNTY",35.832054,-78.319739,325412,"C,OO","Chemicals,Industrial Gas Suppliers",8129.62,8524.468,8130.02,8637.968,9136.916,8167.32,7135.524,7044.824,6784.872,251.046,11.2,6085.628,6404.776
1003507,"110012474697","Gerdau Ameristeel US, Inc - Charlotte Mill","CHARLOTTE","NC","28269","6601 LAKEVIEW ROAD","MECKLENBURG COUNTY",35.33908,-80.83114,331110,"C,Q","Metals",50136.46,54655.352,62120.396,55922.208,55844.008,46157.52,42165.428,34754.628,33824.528,48970.596,51491.78,47378.852,46786.204
1002857,"110001102958","GlaxoSmithKline","Research Triangle Park","NC","27709","Five Moore Drive","DURHAM COUNTY",35.939776,-78.863888,325411,"C","Chemicals",NA,NA,NA,NA,NA,NA,NA,NA,14382.084,17052.268,16340.686,15098.092,24421.15
1002888,"110023154931","Gold Bond - MTH Plant","MOUNT HOLLY","NC","28120","1725 DRYWALL DR","GASTON COUNTY",35.3245,-80.9996,327420,"C","Minerals",85511.828,90377.16,88122.968,86780.124,87297.872,87606.32,84340.532,78097.656,72511.576,78967.052,76866.26,70783.784,59865.324
1013623,"110001480415","Gold Bond - WLM Plant","Wilmington","NC","28412","838 Sunnyvale Drive","NEW HANOVER COUNTY",34.17215,-77.94659,327420,"C","Minerals",40328.748,39350.152,37295.16,31882.08,28775.492,NA,NA,NA,NA,NA,NA,NA,NA
1013276,"110071162203","Granges Americas Inc.- SRM","Salisbury","NC","28145","1709 Jake Alexander BLVD","ROWAN COUNTY",35.682317,-80.507236,331315,"C","Metals",16960.236,19038.528,26474.9,17261.836,23783.66,25777.852,NA,NA,NA,NA,NA,NA,NA
1013633,"110069995406","Great Oak Landfill","Randleman","NC","27317","3597 Old Cedar Falls Road","RANDOLPH COUNTY",35.744148,-79.741612,562212,"C,HH","Waste",65194.3,40137.05,194878.3,70740.5,44656.75,NA,NA,NA,NA,NA,NA,NA,NA
1000786,"110000496552","H F Lee Steam Electric Plant","GOLDSBORO","NC","27530","1199 Black Jack Church Rd","Wayne",35.3775,-78.0875,221112,"C,D","Power Plants",2637535.22,2827748.238,2380026.564,2312716.414,2649902.098,3051649.374,2858500.964,2807254.922,2787314.33,2376744.74,2555224.018,1282647.738,1373113.474
1003137,"110007123184","HANES MILL ROAD LANDFILL","WINSTON-SALEM","NC","27102","325 WEST HANES MILL ROAD","FORSYTH COUNTY",36.189037,-80.287502,562212,"HH","Waste",32616.75,39407.25,40461.75,55173.75,54986,33469.5,31920,32293.25,29589.75,53028.85,48778.3,37371,46905.9
1001876,"110070157588","HEADQUARTERS XVIII ABN CORPS AND FORT LIBERTY","Fort Liberty","NC","28310","2175 Rock Merritt Avenue","CUMBERLAND COUNTY",35.152115,-78.998907,928110,"C","Other",74795.994,67823.67,66439.764,62440.036,65154.916,65198.112,65834.964,68670.316,71176.014,79899.13,77303.338,72190.658,89803.458
1005993,"110014008509","HENDERSON COUNTY LANDFILL/TS SINCE 1997","HENDERSONVILLE","NC","28791","802 STONEY MOUNTAIN RD","HENDERSON",35.3515,-82.49791,562212,"HH","Waste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14666,8820.5,12686.5
1006514,"110009717164","IREDELL CO-TWINS OAKS RD;3260","STATESVILLE","NC","28625","354 TWINS OAKS ROAD","IREDELL COUNTY",35.77227,-80.82308,562212,"C,HH","Waste",133232.644,106417.516,96367.06,154251.56,87658.8,71478.05,110795.2,95168.586,81518.238,77831.258,98620.75,77910.25,82991
1012516,"110000861032","Ingredion Incorporated","Winton Salem","NC","27107","4501 Overdale Road","FORSYTH COUNTY",36.032491,-80.228696,311221,"C","Other",26386.918,23494.91,32334.294,21123.01,34070.426,22133.15,21457.142,31259.084,NA,NA,NA,NA,NA
1010114,"110013349563","International Paper - Canton Landfill 5B/5C","Canton","NC","28716",NA,"HAYWOOD COUNTY",35.552899,-82.832451,562212,"TT","Waste",NA,NA,NA,NA,21181.75,22046.25,22946,23882.25,24857,25871.5,26927.25,33631.5,35004
1000228,"110000350478","International Paper - New Bern Mill","Vanceboro","NC","28586","1785 Weyerhaeuser Road","Craven",35.2081,-77.1242,322110,"AA,C,TT","Pulp and Paper,Waste",114519.266,100748.704,93987.324,97271.516,100442.642,75257.262,70804.592,103893.94,118094.538,133040.01,130805.58,143138.582,137158.476
1011267,"110070082124","International Paper - Roanoke Rapids Landfill","Roanoke Rapids","NC","27870",NA,"HALIFAX COUNTY",36.462894,-77.636997,562212,"TT","Waste",NA,NA,NA,NA,NA,21277,22145.25,23049.25,23989.75,24968.75,25987.75,NA,NA
1007226,"110009719304","International Paper-Riegelwood","RIEGELWOOD","NC","28456","865 JOHN L RIEGEL ROAD","Columbus",34.3528,-78.2028,322110,"AA,C,TT","Pulp and Paper,Waste",301786.16,316907.462,325787.898,302060.936,277427.502,295411.298,292700.834,331024.128,401493.576,390931.25,387668.502,398186.154,414901.002
1004252,"110041518033","JOHNSTON COUNTY MSW LANDFILL","SMITHFIELD","NC","27577","680 COUNTY HOME ROAD","JOHNSTON COUNTY",35.511016,-78.429316,562212,"HH","Waste",98907.25,99816.5,104223.25,101520.5,75290.75,82774.5,59071.5,58543.75,59490.25,45350.5,44391.25,30321.5,86047.75
